Area,Total,Firearm,"Knife or
other cutting
instrument",Bomb,"Blunt
instrument","Personal
weapons",Vehicle,Other
WEST,1071.0,50.0,11.0,23.0,210.0,448.0,128.0,201.0
Mountain,523.0,47.0,4.0,0.0,4.0,337.0,99.0,32.0
Arizona,97.0,7.0,1.0,0.0,1.0,64.0,5.0,19.0
Colorado,24.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0
Idaho,287.0,21.0,0.0,0.0,1.0,183.0,82.0,0.0
Montana,23.0,5.0,0.0,0.0,2.0,13.0,3.0,0.0
Nevada,28.0,2.0,0.0,0.0,0.0,23.0,2.0,1.0
New Mexico,58.0,12.0,2.0,0.0,0.0,33.0,0.0,11.0
Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyoming,6.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0
Pacific,548.0,3.0,7.0,23.0,206.0,111.0,29.0,169.0
Alaska,5.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0
California,37.0,0.0,0.0,0.0,3.0,22.0,6.0,6.0
Hawaii,15.0,1.0,3.0,0.0,0.0,11.0,0.0,0.0
Oregon,401.0,0.0,4.0,23.0,203.0,13.0,2.0,156.0
Washington,90.0,0.0,0.0,0.0,0.0,64.0,21.0,5.0
PUERTO RICO AND OTHER OUTLYING AREAS,8.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariana Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puerto Rico,8.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0
U.S. Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOREIGN,36.0,0.0,0.0,0.0,0.0,31.0,1.0,4.0
Santo Domingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Italy,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douala Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Okinawa, Japan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Iwakuni, Japan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
LOCATION NOT REPORTED1,28.0,0.0,2.0,0.0,1.0,25.0,0.0,0.0
